Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
180,Spectrogram 1,1,7566.500093,2:06:07,14:26:16,7567.26512,116.803,522.541,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,405.738,0.4583,17.32,0.765,-31.31,moan,
115,Spectrogram 1,1,6307.52474,1:45:08,14:05:17,6309.177745,274.327,408.903,Port Renfrew 3-20200907-135404-246-00004.wav,351.562,134.576,1.3958,25.36,1.653,-31.98,moan,yes
113,Spectrogram 1,1,6298.118878,1:44:58,14:05:07,6298.82926,77.64,170.807,Port Renfrew 3-20200907-135404-246-00004.wav,140.625,93.167,0.6042,12.48,0.7104,-34.14,moan,yes
114,Spectrogram 1,1,6304.514937,1:45:05,14:05:14,6306.154281,222.567,600.414,Port Renfrew 3-20200907-135404-246-00004.wav,468.75,377.847,1.4375,18.64,1.6393,-34.16,moan,yes
118,Spectrogram 1,1,6326.091574,1:45:26,14:05:35,6326.755508,703.934,1865.248,Port Renfrew 3-20200907-135404-246-00004.wav,1054.688,1161.314,0.1667,22.82,0.6639,-13.22,modulated cry,yes
136,Spectrogram 1,1,6403.295167,1:46:43,14:06:52,6406.532872,201.735,564.182,Port Renfrew 3-20200907-135404-246-00004.wav,562.5,362.447,2.4792,26.86,3.2377,-15.57,modulated cry,
158,Spectrogram 1,1,6943.624362,1:55:44,14:15:53,6944.109335,310.559,1571.765,Port Renfrew 3-20200907-135404-246-00004.wav,445.312,1261.206,0.375,18.8,0.485,-28.18,modulated cry,yes
173,Spectrogram 1,1,7050.988084,1:57:31,14:17:40,7052.135625,739.13,1552.795,Port Renfrew 3-20200907-135404-246-00004.wav,1429.688,813.665,1,21.17,1.1475,-29.59,modulated cry,yes
168,Spectrogram 1,1,7038.215007,1:57:18,14:17:27,7038.529214,957.557,1475.155,Port Renfrew 3-20200907-135404-246-00004.wav,1242.188,517.598,0.25,17.41,0.3142,-39.24,modulated cry,yes
137,Spectrogram 1,1,6419.95606,1:47:00,14:07:09,6421.66371,82.816,326.087,Port Renfrew 3-20200907-135404-246-00004.wav,257.812,243.271,1.3125,15.7,1.7076,-23.83,purr,yes
170,Spectrogram 1,1,7040.346154,1:57:20,14:17:29,7040.824296,98.344,383.023,Port Renfrew 3-20200907-135404-246-00004.wav,210.938,284.679,0.25,20.36,0.4781,-26.93,purr,yes
122,Spectrogram 1,1,6330.486694,1:45:30,14:05:39,6331.210738,108.696,491.718,Port Renfrew 3-20200907-135404-246-00004.wav,281.25,383.022,0.4583,18.9,0.724,-31.09,purr,
112,Spectrogram 1,1,6295.39596,1:44:55,14:05:04,6296.557162,119.048,419.255,Port Renfrew 3-20200907-135404-246-00004.wav,257.812,300.207,0.7917,17.77,1.1612,-35.23,purr,
108,Spectrogram 1,1,6224.251577,1:43:44,14:03:53,6224.63409,124.224,267.261,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,143.037,0.2708,21.84,0.3825,-28.32,short moan,
119,Spectrogram 1,1,6327.420258,1:45:27,14:05:36,6327.529547,671.395,3442.08,Port Renfrew 3-20200907-135404-246-00004.wav,890.625,2770.685,0.0417,22.45,0.1093,-19.81,squeak,
123,Spectrogram 1,1,6333.966666,1:45:34,14:05:43,6334.141162,555.556,4013.889,Port Renfrew 3-20200907-135404-246-00004.wav,1617.188,3458.333,0.125,21.24,0.1745,-22.3,squeak,
138,Spectrogram 1,1,6421.461813,1:47:01,14:07:10,6421.625747,1000,4472.222,Port Renfrew 3-20200907-135404-246-00004.wav,1828.125,3472.222,0.0833,18.33,0.1639,-27.49,squeak,
132,Spectrogram 1,1,6394.565513,1:46:35,14:06:44,6394.743907,98.344,2305.556,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,2207.212,0.125,17.05,0.1784,-28.27,squeak,
560,Spectrogram 1,1,6227.5208,1:43:48,14:03:57,6227.638573,1102.45,3772.829,Port Renfrew 3-20200907-135404-246-00004.wav,1242.188,2670.379,0.0625,19.22,0.1178,-30.68,squeak,
105,Spectrogram 1,1,6193.321607,1:43:13,14:03:22,6193.452755,539.007,2600.473,Port Renfrew 3-20200907-135404-246-00004.wav,1429.688,2061.466,0.0625,22.1,0.1311,-30.76,squeak,
559,Spectrogram 1,1,6226.732548,1:43:47,14:03:56,6226.859884,1109.131,3913.14,Port Renfrew 3-20200907-135404-246-00004.wav,1406.25,2804.009,0.0625,20.55,0.1273,-30.95,squeak,
109,Spectrogram 1,1,6225.949761,1:43:46,14:03:55,6226.072712,1182.628,3804.009,Port Renfrew 3-20200907-135404-246-00004.wav,1734.375,2621.381,0.0833,19.22,0.123,-35.29,squeak,
605,Spectrogram 1,1,6328.135306,1:45:28,14:05:37,6328.277383,1007.092,4680.556,Port Renfrew 3-20200907-135404-246-00004.wav,1171.875,3673.464,0.1042,18.23,0.1421,-38.45,squeak,
139,Spectrogram 1,1,6426.623758,1:47:07,14:07:16,6428.932502,465.839,988.613,Port Renfrew 3-20200907-135404-246-00004.wav,656.25,522.774,1.75,19.27,2.3087,-16.14,squeegie,
133,Spectrogram 1,1,6395.89266,1:46:36,14:06:45,6396.592114,652.482,3375,Port Renfrew 3-20200907-135404-246-00004.wav,1078.125,2722.518,0.4375,22.97,0.6995,-17.29,squeegie,
607,Spectrogram 1,1,6397.162779,1:46:37,14:06:46,6398.119063,113.475,3347.222,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,3233.747,0.6667,21.45,0.9563,-20.14,squeegie,
130,Spectrogram 1,1,6371.538975,1:46:12,14:06:21,6374.107281,170.807,1226.708,Port Renfrew 3-20200907-135404-246-00004.wav,1054.688,1055.901,2,16.73,2.5683,-21.08,squeegie,
672,Spectrogram 1,1,7673.711472,2:07:54,14:28:03,7674.006554,85.106,529.551,Port Renfrew 3-20200907-135404-246-00004.wav,93.75,444.445,0.1458,25.53,0.2951,-19,swops,
183,Spectrogram 1,1,7676.269771,2:07:56,14:28:05,7676.597639,92.213,406.619,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,314.406,0.1667,26.58,0.3279,-20.25,swops,
673,Spectrogram 1,1,7674.520215,2:07:55,14:28:04,7674.869942,94.563,340.426,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,245.863,0.1667,21.6,0.3497,-21.58,swops,
674,Spectrogram 1,1,7675.31803,2:07:55,14:28:04,7675.73333,85.106,359.338,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,274.232,0.1667,26.39,0.4153,-21.93,swops,
675,Spectrogram 1,1,7677.132237,2:07:57,14:28:06,7677.438248,104.019,387.707,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,283.688,0.1667,25.05,0.306,-22.8,swops,
558,Spectrogram 1,1,6226.996497,1:43:47,14:03:56,6227.242398,167.038,628.062,Port Renfrew 3-20200907-135404-246-00004.wav,351.562,461.024,0.1458,15.58,0.2459,-19.98,teepee,yes
552,Spectrogram 1,1,6328.717233,1:45:29,14:05:38,6329.072424,66.815,701.559,Port Renfrew 3-20200907-135404-246-00004.wav,234.375,634.744,0.1875,27.62,0.3552,-21.19,teepee,
120,Spectrogram 1,1,6327.438424,1:45:27,14:05:36,6327.883899,77.64,601.336,Port Renfrew 3-20200907-135404-246-00004.wav,328.125,523.696,0.2708,22.34,0.4455,-22.18,teepee,
121,Spectrogram 1,1,6332.270824,1:45:32,14:05:41,6332.789949,72.464,478.842,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,406.378,0.3125,18.72,0.5191,-23.4,teepee,
178,Spectrogram 1,1,7391.246623,2:03:11,14:23:20,7391.67513,92.213,423.611,Port Renfrew 3-20200907-135404-246-00004.wav,93.75,331.398,0.3958,18.76,0.4285,-31.8,upsweep,yes
156,Spectrogram 1,1,6940.102097,1:55:40,14:15:49,6940.539255,336.439,822.981,Port Renfrew 3-20200907-135404-246-00004.wav,632.812,486.542,0.375,22.74,0.4372,-29.47,whoop,yes
176,Spectrogram 1,1,7152.418359,1:59:12,14:19:21,7153.306338,99.379,347.826,Port Renfrew 3-20200907-135404-246-00004.wav,117.188,248.447,0.5833,22.36,0.888,-19.02,whup,yes
150,Spectrogram 1,1,6474.97132,1:47:55,14:08:04,6475.681702,72.464,482.27,Port Renfrew 3-20200907-135404-246-00004.wav,93.75,409.806,0.4583,25.26,0.7104,-19.91,whup,
184,Spectrogram 1,1,7776.37212,2:09:36,14:29:45,7777.39671,67.623,706.967,Port Renfrew 3-20200907-135404-246-00004.wav,70.312,639.344,0.6458,22.2,1.0246,-23.53,whup,
175,Spectrogram 1,1,7150.628071,1:59:11,14:19:20,7151.352115,62.112,360.248,Port Renfrew 3-20200907-135404-246-00004.wav,70.312,298.136,0.6042,24.22,0.724,-23.86,whup,yes
191,Spectrogram 1,1,8963.37152,2:29:23,14:49:32,8963.508132,102.564,544.872,Port Renfrew 3-20200907-144101-154-00005.wav,281.25,442.308,0.0417,28.14,0.1366,-34.29,bop,
235,Spectrogram 1,1,11169.70588,3:06:10,15:26:19,11169.85615,391.026,1604.167,Port Renfrew 3-20200907-144101-154-00005.wav,984.375,1213.141,0.0625,29.95,0.1503,-36.83,bop,yes
192,Spectrogram 1,1,8966.880124,2:29:27,14:49:36,8967.016736,179.487,506.41,Port Renfrew 3-20200907-144101-154-00005.wav,257.812,326.923,0.0417,17.6,0.1366,-37.1,bop,
232,Spectrogram 1,1,10738.24969,2:58:58,15:19:07,10738.3863,89.744,500,Port Renfrew 3-20200907-144101-154-00005.wav,140.625,410.256,0.0625,32.09,0.1366,-39.8,bop,
193,Spectrogram 1,1,8968.999714,2:29:29,14:49:38,8969.060529,179.487,641.026,Port Renfrew 3-20200907-144101-154-00005.wav,328.125,461.539,0.0208,29.14,0.0608,-35.44,knock,yes
256,Spectrogram 1,1,12201.24426,3:23:21,15:43:30,12201.7907,37.393,1685.649,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,1648.256,0.2917,26.48,0.5464,-4.08,bark,
682,Spectrogram 1,1,12202.10764,3:23:22,15:43:31,12202.64316,56.738,1177.305,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,1120.567,0.2083,26.8,0.5355,-5.14,bark,
681,Spectrogram 1,1,12200.22786,3:23:20,15:43:29,12200.87267,78.014,1156.028,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,1078.014,0.375,25.54,0.6448,-7.16,bark,
679,Spectrogram 1,1,12198.58852,3:23:19,15:43:28,12199.08032,56.738,1163.121,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,1106.383,0.3333,25.86,0.4918,-7.59,bark,
680,Spectrogram 1,1,12199.39726,3:23:19,15:43:28,12199.98743,78.014,1163.121,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,1085.107,0.3333,25.14,0.5902,-7.61,bark,
678,Spectrogram 1,1,12197.77978,3:23:18,15:43:27,12198.27158,63.83,1141.844,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,1078.014,0.2708,21.69,0.4918,-10.37,bark,
677,Spectrogram 1,1,12196.89453,3:23:17,15:43:26,12197.3754,63.83,1177.305,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,1113.475,0.3333,23.22,0.4809,-15.21,bark,
258,Spectrogram 1,1,12291.00186,3:24:51,15:45:00,12291.53465,104.167,2250,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,2145.833,0.3333,27.14,0.5328,-21.55,bark,
619,Spectrogram 1,1,12135.4106,3:22:15,15:42:24,12135.72481,62.5,2125,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,2062.5,0.2292,24.78,0.3142,-22.7,bark,yes
308,Spectrogram 1,1,12796.87909,3:33:17,15:53:26,12797.98565,304.752,1792.793,Port Renfrew 3-20200907-152758-055-00006.wav,1031.25,1488.041,0.7917,14.98,1.1066,-38.08,bellow,
