Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
402,Spectrogram 1,1,14337.37285,3:58:57,16:19:06,14337.66629,54.585,267.467,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,212.882,0.125,31.47,0.2934,-16.32,grunt,
355,Spectrogram 1,1,14160.88865,3:56:01,16:16:10,14161.2575,72.016,349.794,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,277.778,0.1458,33.17,0.3688,-16.51,grunt,
388,Spectrogram 1,1,14314.39888,3:58:34,16:18:43,14314.71405,60.044,638.646,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,578.602,0.1667,26.54,0.3152,-16.54,grunt,
490,Spectrogram 1,1,14717.51749,4:05:18,16:25:27,14717.80544,56.738,638.298,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,581.56,0.1042,26.53,0.288,-16.76,grunt,
481,Spectrogram 1,1,14705.00853,4:05:05,16:25:14,14705.36372,68.085,482.916,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,414.831,0.1667,26.67,0.3552,-18.64,grunt,
379,Spectrogram 1,1,14209.30727,3:56:49,16:16:58,14209.59416,66.872,610.478,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,543.606,0.1667,28.5,0.2869,-18.75,grunt,
439,Spectrogram 1,1,14588.95791,4:03:09,16:23:18,14589.32676,58.761,283.12,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,224.359,0.2292,25.79,0.3689,-18.97,grunt,
393,Spectrogram 1,1,14324.53985,3:58:45,16:18:54,14324.83285,60.044,573.144,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,513.1,0.1042,24.88,0.293,-19.12,grunt,
645,Spectrogram 1,1,14328.63468,3:58:49,16:18:58,14328.92156,62.5,574.468,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,511.968,0.1458,32.04,0.2869,-19.36,grunt,
406,Spectrogram 1,1,14348.19795,3:59:08,16:19:17,14348.43702,65.502,588.652,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,523.15,0.0833,28.87,0.2391,-19.5,grunt,
503,Spectrogram 1,1,14769.65393,4:06:10,16:26:19,14770.05545,69.149,361.702,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,292.553,0.25,24.99,0.4015,-19.75,grunt,
573,Spectrogram 1,1,14315.62935,3:58:36,16:18:45,14315.97088,63.781,601.367,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,537.586,0.1875,22.95,0.3415,-20.49,grunt,
375,Spectrogram 1,1,14191.46956,3:56:31,16:16:40,14191.72222,66.872,546.697,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,479.825,0.0833,27.45,0.2527,-21.11,grunt,
415,Spectrogram 1,1,14380.42283,3:59:40,16:19:49,14380.62775,52.402,366.812,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,314.41,0.0833,31.24,0.2049,-21.28,grunt,
351,Spectrogram 1,1,14155.63407,3:55:56,16:16:05,14155.9756,108.025,364.425,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,256.4,0.1667,27.64,0.3415,-21.36,grunt,
359,Spectrogram 1,1,14164.51455,3:56:05,16:16:14,14164.78777,66.872,464.692,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,397.82,0.125,26.58,0.2732,-21.5,grunt,
419,Spectrogram 1,1,14383.95129,3:59:44,16:19:53,14384.16987,54.67,393.013,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,338.343,0.0625,36.38,0.2186,-21.62,grunt,
369,Spectrogram 1,1,14184.75541,3:56:25,16:16:34,14185.12575,87.449,473.804,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,386.355,0.1667,25.43,0.3703,-21.65,grunt,
480,Spectrogram 1,1,14703.2249,4:05:03,16:25:12,14703.73787,69.444,409.722,Port Renfrew 3-20200907-161453-284-00007.wav,187.5,340.278,0.3333,21.23,0.513,-21.7,grunt,
438,Spectrogram 1,1,14586.00275,4:03:06,16:23:15,14586.28963,53.419,592.255,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,538.836,0.1667,32.53,0.2869,-21.81,grunt,
366,Spectrogram 1,1,14180.91769,3:56:21,16:16:30,14181.23463,77.16,574.032,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,496.872,0.1458,24.32,0.3169,-21.88,grunt,
372,Spectrogram 1,1,14188.1703,3:56:28,16:16:37,14188.40296,72.016,601.367,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,529.351,0.0833,24.73,0.2327,-22.1,grunt,
483,Spectrogram 1,1,14706.97776,4:05:07,16:25:16,14707.33978,70.392,619.59,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,549.198,0.2083,20.09,0.362,-22.19,grunt,
398,Spectrogram 1,1,14332.94171,3:58:53,16:19:02,14333.21139,70.961,300.218,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,229.257,0.125,32.61,0.2697,-22.45,grunt,
387,Spectrogram 1,1,14310.25967,3:58:30,16:18:39,14310.5381,76.419,619.59,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,543.171,0.1667,22.61,0.2784,-22.49,grunt,
348,Spectrogram 1,1,14138.83774,3:55:39,16:15:48,14139.13829,92.593,404.255,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,311.662,0.1667,25.23,0.3005,-23.15,grunt,
418,Spectrogram 1,1,14382.89867,3:59:43,16:19:52,14383.13911,69.869,393.013,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,323.144,0.1042,31.74,0.2404,-23.26,grunt,
413,Spectrogram 1,1,14378.56491,3:59:39,16:19:48,14378.75708,61.503,553.531,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,492.028,0.0625,27.7,0.1922,-23.59,grunt,
640,Spectrogram 1,1,14163.4942,3:56:03,16:16:12,14163.56442,111.111,638.889,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,527.778,0.0208,31.67,0.0702,-33.87,knock,
639,Spectrogram 1,1,14161.37863,3:56:01,16:16:10,14161.44694,152.778,666.667,Port Renfrew 3-20200907-161453-284-00007.wav,328.125,513.889,0.0208,18.83,0.0683,-34.77,knock,
358,Spectrogram 1,1,14163.26469,3:56:03,16:16:12,14163.33026,97.737,684.156,Port Renfrew 3-20200907-161453-284-00007.wav,164.062,586.419,0.0208,21.09,0.0656,-37.58,knock,
518,Spectrogram 1,1,15554.58706,4:19:15,16:39:24,15554.66356,134.043,1040.426,Port Renfrew 3-20200907-161453-284-00007.wav,328.125,906.383,0.0417,20.35,0.0765,-39.8,knock,
376,Spectrogram 1,1,14192.23125,3:56:32,16:16:41,14193.37879,82.305,720.165,Port Renfrew 3-20200907-161453-284-00007.wav,257.812,637.86,0.6667,25.35,1.1475,-17.18,moan,
523,Spectrogram 1,1,15557.94828,4:19:18,16:39:27,15560.53024,45.553,195.228,Port Renfrew 3-20200907-161453-284-00007.wav,46.875,149.675,2.2917,14.27,2.582,-31.99,moan,
513,Spectrogram 1,1,14799.47959,4:06:39,16:26:48,14800.84571,389.362,826.464,Port Renfrew 3-20200907-161453-284-00007.wav,585.938,437.102,0.3958,21.51,1.3661,-19.99,modulated cry,
469,Spectrogram 1,1,14685.9763,4:04:46,16:24:55,14686.31783,512.821,735.043,Port Renfrew 3-20200907-161453-284-00007.wav,609.375,222.222,0.1875,36.92,0.3415,-20.4,modulated cry,
504,Spectrogram 1,1,14775.9261,4:06:16,16:26:25,14776.48621,440.426,842.553,Port Renfrew 3-20200907-161453-284-00007.wav,492.188,402.127,0.2917,16.73,0.5601,-27.14,modulated cry,
500,Spectrogram 1,1,14765.29123,4:06:05,16:26:14,14766.38413,462.766,1015.957,Port Renfrew 3-20200907-161453-284-00007.wav,539.062,553.191,0.7292,20.54,1.0929,-27.76,modulated cry,
468,Spectrogram 1,1,14682.10618,4:04:42,16:24:51,14682.91219,504.274,1042.735,Port Renfrew 3-20200907-161453-284-00007.wav,820.312,538.461,0.6875,25.42,0.806,-27.96,modulated cry,yes
431,Spectrogram 1,1,14534.19742,4:02:14,16:22:23,14534.69591,351.528,634.279,Port Renfrew 3-20200907-161453-284-00007.wav,585.938,282.751,0.3333,27.72,0.4985,-29.08,modulated cry,
509,Spectrogram 1,1,14791.9011,4:06:32,16:26:41,14792.67097,436.009,754.881,Port Renfrew 3-20200907-161453-284-00007.wav,515.625,318.872,0.5833,18.5,0.7699,-30.26,modulated cry,
411,Spectrogram 1,1,14373.66316,3:59:34,16:19:43,14374.40087,120.087,895.197,Port Renfrew 3-20200907-161453-284-00007.wav,328.125,775.11,0.2292,19.92,0.7377,-30.44,modulated cry,
538,Spectrogram 1,1,14793.79118,4:06:34,16:26:43,14794.72015,221.258,950.108,Port Renfrew 3-20200907-161453-284-00007.wav,468.75,728.85,0.5625,16.47,0.929,-32.1,modulated cry,
537,Spectrogram 1,1,14792.72561,4:06:33,16:26:42,14793.77752,403.471,872.017,Port Renfrew 3-20200907-161453-284-00007.wav,703.125,468.546,0.9375,22.4,1.0519,-33.7,modulated cry,
530,Spectrogram 1,1,14534.96913,4:02:15,16:22:24,14535.43361,351.064,631.915,Port Renfrew 3-20200907-161453-284-00007.wav,398.438,280.851,0.2917,24.02,0.4645,-34.76,modulated cry,
511,Spectrogram 1,1,14796.38298,4:06:36,16:26:45,14797.87205,223.404,1047.722,Port Renfrew 3-20200907-161453-284-00007.wav,1031.25,824.318,1.2708,14.03,1.4891,-37.97,modulated cry,
493,Spectrogram 1,1,14721.04868,4:05:21,16:25:30,14721.89567,85.106,378.378,Port Renfrew 3-20200907-161453-284-00007.wav,257.812,293.272,0.5208,20.54,0.847,-24.52,purr,
378,Spectrogram 1,1,14198.65885,3:56:39,16:16:48,14199.30529,108.025,360.082,Port Renfrew 3-20200907-161453-284-00007.wav,281.25,252.057,0.4167,16.7,0.6464,-35.8,purr,
380,Spectrogram 1,1,14209.9447,3:56:50,16:16:59,14210.1906,174.897,303.498,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,128.601,0.1042,23.77,0.2459,-35.82,short moan,
430,Spectrogram 1,1,14525.34961,4:02:05,16:22:14,14527.93158,2387.707,11949.782,Port Renfrew 3-20200907-161453-284-00007.wav,8953.125,9562.075,1.6458,19.31,2.582,-32.25,shriek,
467,Spectrogram 1,1,14668.13449,4:04:28,16:24:37,14668.23784,1068.376,4319.149,Port Renfrew 3-20200907-161453-284-00007.wav,2625,3250.773,0.0208,31.14,0.1033,-22.28,squeak,
449,Spectrogram 1,1,14606.01797,4:03:26,16:23:35,14606.11633,1400,4065.012,Port Renfrew 3-20200907-161453-284-00007.wav,1781.25,2665.012,0.0208,35.13,0.0984,-25.18,squeak,
453,Spectrogram 1,1,14610.74821,4:03:31,16:23:40,14610.85986,1347.518,4125.296,Port Renfrew 3-20200907-161453-284-00007.wav,1804.688,2777.778,0.0417,36.47,0.1117,-27.55,squeak,
461,Spectrogram 1,1,14620.43342,4:03:40,16:23:49,14620.58455,2905.983,4574.468,Port Renfrew 3-20200907-161453-284-00007.wav,3023.438,1668.485,0.0417,28.57,0.1511,-28.4,squeak,
432,Spectrogram 1,1,14537.41449,4:02:17,16:22:26,14537.59208,2478.632,3835.47,Port Renfrew 3-20200907-161453-284-00007.wav,2648.438,1356.838,0.0833,23.79,0.1776,-31.86,squeak,yes
462,Spectrogram 1,1,14621.30773,4:03:41,16:23:50,14621.40789,1553.191,4021.277,Port Renfrew 3-20200907-161453-284-00007.wav,1781.25,2468.086,0.0417,21.45,0.1002,-33.76,squeak,
460,Spectrogram 1,1,14619.51897,4:03:40,16:23:49,14619.60094,1217.949,4638.298,Port Renfrew 3-20200907-161453-284-00007.wav,1945.312,3420.349,0.0208,24.65,0.082,-35,squeak,
451,Spectrogram 1,1,14608.05968,4:03:28,16:23:37,14608.15262,3102.837,4319.149,Port Renfrew 3-20200907-161453-284-00007.wav,3117.188,1216.312,0.0417,24.23,0.0929,-35.53,squeak,
450,Spectrogram 1,1,14607.2748,4:03:27,16:23:36,14607.36574,1534.615,4177.305,Port Renfrew 3-20200907-161453-284-00007.wav,1804.688,2642.69,0,22.43,0.0909,-36.2,squeak,
463,Spectrogram 1,1,14622.16369,4:03:42,16:23:51,14622.25855,2851.064,4276.596,Port Renfrew 3-20200907-161453-284-00007.wav,3351.562,1425.532,0.0625,17.52,0.0949,-38.12,squeak,
531,Spectrogram 1,1,14538.33389,4:02:18,16:22:27,14538.42309,2457.447,3627.66,Port Renfrew 3-20200907-161453-284-00007.wav,3093.75,1170.213,0.0417,21.61,0.0892,-38.32,squeak,yes
422,Spectrogram 1,1,14420.00542,4:00:20,16:20:29,14420.63384,78.603,1441.048,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,1362.445,0.2708,31.44,0.6284,-3.93,thwop,
499,Spectrogram 1,1,14749.66804,4:05:50,16:25:59,14750.69263,63.83,595.745,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,531.915,0.375,34.88,1.0246,-4.79,thwop,
421,Spectrogram 1,1,14401.4151,4:00:01,16:20:10,14401.92056,52.402,1074.236,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,1021.834,0.1042,37.15,0.5055,-5.06,thwop,
423,Spectrogram 1,1,14436.01362,4:00:36,16:20:45,14436.66936,104.803,1248.908,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,1144.105,0.3333,28.55,0.6557,-6.8,thwop,
420,Spectrogram 1,1,14387.22228,3:59:47,16:19:56,14387.78239,61.135,951.965,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,890.83,0.3125,34.24,0.5601,-7.99,thwop,
440,Spectrogram 1,1,14603.84133,4:03:24,16:23:33,14604.28348,53.419,582.265,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,528.846,0.125,36.48,0.4421,-10.11,thwop,
356,Spectrogram 1,1,14161.57171,3:56:02,16:16:11,14162.44603,92.593,486.486,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,393.893,0.5208,27.84,0.8743,-17.86,thwop,
494,Spectrogram 1,1,14733.24321,4:05:33,16:25:42,14734.14485,69.149,664.894,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,595.745,0.5208,27.76,0.9016,-18.77,thwop,
367,Spectrogram 1,1,14181.50153,3:56:22,16:16:31,14182.68272,82.305,823.045,Port Renfrew 3-20200907-161453-284-00007.wav,304.688,740.74,0.9375,24.05,1.1812,-20.69,unknown_3,
489,Spectrogram 1,1,14716.01318,4:05:16,16:25:25,14716.96263,90.426,1111.702,Port Renfrew 3-20200907-161453-284-00007.wav,468.75,1021.276,0.5417,23.15,0.9495,-21.1,unknown_3,
644,Spectrogram 1,1,14188.64253,3:56:29,16:16:38,14189.47586,97.222,562.5,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,465.278,0.5208,23.74,0.8333,-21.43,unknown_3,
501,Spectrogram 1,1,14767.25588,4:06:07,16:26:16,14768.59468,58.511,946.809,Port Renfrew 3-20200907-161453-284-00007.wav,585.938,888.298,1.0208,22.04,1.3388,-21.74,unknown_3,
425,Spectrogram 1,1,14440.21587,4:00:40,16:20:49,14440.5574,69.869,620.087,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,550.218,0.1667,26.37,0.3415,-20.16,upsweep,
454,Spectrogram 1,1,14612.18549,4:03:32,16:23:41,14612.39041,85.47,487.179,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,401.709,0.125,27.09,0.2049,-27.38,upsweep,
535,Spectrogram 1,1,14481.06555,4:01:21,16:21:30,14481.32013,70.213,501.139,Port Renfrew 3-20200907-161453-284-00007.wav,210.938,430.926,0.1667,20.22,0.2546,-27.45,upsweep,
365,Spectrogram 1,1,14171.97631,3:56:12,16:16:21,14172.30418,102.881,462.963,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,360.082,0.2292,22.6,0.3279,-29.31,upsweep,
435,Spectrogram 1,1,14562.65146,4:02:43,16:22:52,14563.1296,74.786,608.974,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,534.188,0.1875,26.8,0.4781,-12.9,whup,
434,Spectrogram 1,1,14561.0531,4:02:41,16:22:50,14561.70883,82.265,762.821,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,680.556,0.2708,31.97,0.6557,-14.15,whup,
392,Spectrogram 1,1,14320.95805,3:58:41,16:18:50,14321.99631,76.419,721.604,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,645.185,0.4583,29.94,1.0383,-15.32,whup,
407,Spectrogram 1,1,14348.87596,3:59:09,16:19:18,14349.60001,60.044,709.607,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,649.563,0.4167,29.27,0.7241,-18.08,whup,
